HeaderID,ProjectName,OngoingInitiation,DiscontinuedDate,CompletionDate,ActualProjectCost,FundingSource,ProjectDescriptionText,NonPointProject,PointProject,ProjectLatitude,ProjectLongitude
1303,Routine Maintenance Erosion Control,2007,0,0,NA,NULL,NULL,1,1,27.934967,-81.999207
1302,Illicit Discharge Complaint Investigation,2007,0,0,NA,NULL,NULL,1,1,27.955591,-82.001953
1301,Drainage Maintenance on Blackwater Creek,2007,0,0,NA,NULL,NULL,1,1,28.092881,-82.044268
1300,New River and Hillsborough River Watershed Management Plans in Pasco County,2007,0,0,NA,NULL,NULL,1,1,28.21577713,-82.26768494
1297,City of Tampa Riverwalk Project,2007,0,0,NA,NULL,NULL,1,1,27.947441,-82.461491
1294,River Tower Park Shoreline Restoration and Stormwater Improvements,2009,0,0,NA,NULL,NULL,1,1,28.021536,-82.457486
1292,Plant City Sewer Line Maintenance Program,2007,0,0,NA,NULL,NULL,1,1,28.016914,-82.124291
1291,Plant City Spill Prevention/Response Program,2007,0,0,NA,NULL,NULL,1,1,28.016914,-82.124291
1290,Lake Thonotosassa Diagnostic Assessment and Water Quality Treatment Project,2007,0,0,NA,NULL,NULL,1,1,28.016914,-82.124291
1289,Plant City Inflow and Infiltration (I&I) Program,2007,0,0,NA,NULL,NULL,1,1,28.016914,-82.124291
1288,Plant City Grease Management Program,2007,0,0,NA,NULL,NULL,1,1,28.016914,-82.124291
1287,Plant City Lift Station Security Program,2007,0,0,NA,NULL,NULL,1,1,28.016914,-82.124291
1286,Plant City Lift Station Maintenance,2007,0,0,NA,NULL,NULL,1,1,28.016914,-82.124291
1285,Plant City Lift Station Auxiliary Power Program,2007,0,0,NA,NULL,NULL,1,1,28.016914,-82.124291
1284,Plant City Stormwater Inlet Marking Program,2007,0,0,NA,NA,NULL,1,1,28.016914,-82.124291
1281,Robinson Preserve Expansion,2012,0,0,NA,NULL,"Additional land acquisition for preservation - 
200 acres (from projected golf course to 
preserve)",1,1,27.517863,-82.669042
1280,Decrease TN &/or TP,NA,NA,NA,NULL,NA,NULL,NA,NA,NA,NA
1278,City-Wide Reclaim Service,0,0,0,NA,NULL,NULL,1,1,0,0
1277,Itchepackesassa Creek Regional Stormwater Treatment Wetland,2009,0,0,"$4,783,619.00","Polk County BoCC
SWFWMD - SWIM","Construction of a 70+ acre wetland facility to  treat water from 
Itchpackesassa Creek to improve water quality downstream.",1,1,28.107196,-82.094937
1276,Itchepackesassa Creek Regional Stormwater Treatment Wetland,NA,NA,NA,NULL,NA,NULL,NA,NA,NA,NA
1275,City of Plant City Environmental Education Program,0,0,0,NA,NA,NULL,1,1,28.01759,-82.116966
1272,City of Seminole Park Development,0,0,0,NA,NULL,"Demo of 6.5 acres of commerical development for 
restoration and park development",1,1,27.9381,-82.7824
1270,Silver Lake Sediment Inactivation,2012,0,0,"100,000",FDOT,"Conduct a feasibility evaluation of sediment 
phosphorus inactivation in Silver Lake and 
implementation of the recommended chemical 
application",1,1,0,-82.66943
1269,Lake Seminole Sediment Removal,2017,0,0,"16,732,300","Penny for Pinellas, and SWFWMD grant","Dredging of sediment from Lake Seminole to 
improve lake water quality.  ONE TIME load removal estimate.",1,1,27.85015,-82.78048
1264,Lake Manatee Watershed Study,0,0,0,NA,NULL,"Watershed study for future use planning.  
Includes elevation data collection and 
modelling surface water flow.",1,1,27.481568,-82.322385
1263,5th A/S Nutrient Removal Baffle Box,2008,0,0,"1,399,998",NULL,"Designed to treat first 1/2"" of runoff from 
watershed. Flows in excess of the 1/2"" of runoff 
bypass baffle box.",1,1,27.766077,-82.661849
1262,Manatee County SWWRF Upgrade,2012,0,0,NA,"Utilities rates, Utilities bonds (RZEDB)","Upgrades to countys Southwest Water Reclamation Facility (SWWRF) to improve nitrogen removal efficiencies (projected 55% N reduction, but tbd).  Will affect all reclaimed water coming from the SWWRF distributed via MARS system.",1,1,27.45234528,-82.63132167
1260,Duette Preserve Wetlands Restoration,2012,0,0,"200,000",NULL,"1400 acres of existing preserve to be 
converted to wetlands & wetland habitat for 
surface water treatment",1,1,27.59238056,-82.10111167
1257,Sherwood Yard Street Sweeping Facility,2010,0,0,NA,Stormwater Utility Fee,"Construct a to process and manage the liquid 
and solid waste collected during street 
sweeping activities, sediment sump, ditch and 
catch basin cleaning.",1,1,27.980714,-82.756606
1255,Bayshore Blvd Reclaimed Water Expansion,2012,0,0,550000,"Federal SPAP grant:  $300,000","Expansion of reclaim water system along Bayshore Boulevard Linear Park.  3,960 LF of reclaim water mains.  Anticipated irrigation demand of 47,00 gpd.",1,1,27.919428,-82.491277
1254,Howard Park Sewer Connection,0,0,0,NA,NA,NULL,1,1,28.15359,-82.787733
1253,Ft. DeSoto Water Circulation Infrastructure,0,0,0,"862,200","Penny for Pinellas, SWFWMD grant",NULL,1,1,27.620577,-82.720699
1252,Joe's Creek Greenway Park,2012,0,0,"397,200","Penny for Pinellas, CDBG Federal Grant","Continued phased development of park facility on both sides of Joe's Creek including bank stabilization, installation of 2nd pedestrian bridge to complete circular walking path, and provide pedestrian access to lands on the north side of the creek.",1,1,27.81521,-82.69279
1250,Creek Erosion Control Programs,2017,0,0,NA,NULL,Erosion control along countywide conveyances.,1,1,27.82936086,-82.70095825
1248,Weedon Island Salt Marsh Restoration,2017,0,0,"500,000","Penny for Pinellas
SWFWMD Grant","Selected mosquito ditches adjacent to the shoreline and the uplands are altering intertidal influences. As a consequence, it is likely that these alterations have resulted in an even aged stand of natives far more susceptible to exotic species encro",1,1,27.845,-82.601
1247,Illicit Discharge Detection & Elimination,1990,0,0,NA,NULL,"Illicit discharge investigation is an NPDES 
Permit requirment. We investigate and 
perform corrective actions on any illicit 
discharges affecting our MS4. Our poactive 
inspection program has prevented many 
potential problems and identified unrepo",1,1,27.383124,-82.453675
1244,NA,NA,NA,NA,NULL,NA,NULL,NA,NA,NA,NA
1243,Florida Yards & Neighborhoods,0,0,0,NA,NULL,"The FY&N Program helps reduce the nutrient 
load in stormwater runoff, and addresses the 
serious problems of water shortages and 
disappearing habitats by enlisting Floridians in 
the battle to save our natural resources. It is 
implemented through",1,1,27.367834,-82.459937
1240,Nichols Facility Closure,NA,NA,NA,NULL,NA,NULL,NA,NA,NA,NA
1239,Nichols Closure,NA,NA,NA,NULL,NA,NULL,NA,NA,NA,NA
1238,Green Bay Discharge Diversion,NA,NA,NA,NULL,NA,NULL,NA,NA,NA,NA
1237,Green Bay Discharge Diversion,NA,NA,NA,NULL,NA,NULL,NA,NA,NA,NA
1236,Pond project,2012,0,0,NA,NULL,"Progress is decommissioning wastewater 
ponds on site.",1,1,27.856774,-82.601469
1234,NA,NA,NA,NA,NULL,NA,NULL,NA,NA,NA,NA
1233,Green Bay discharge diversion to Progress Energy,2013,0,0,NA,NULL,NULL,1,1,27.8330666,-81.8761819
1232,Enclosure of 10/4 Transfer Point,0,0,2010,NA,NULL,"Enclosure of conveyor transfer point 10/4, 
reducing material loss and product runoff.",1,1,0,0
1231,Shiploader System Upgrades,0,0,2009,NA,NULL,"â€¢	Installation of stainless steel and 
aluminum pans underneath the entire 
shiploader to collect any overflow or spillage, 
minimizing material losses and product runoff.",1,1,0,0
1230,Regrade Berms and Swales,0,0,2008,"$17,616.09",NULL,Regrading berms and swales along dock-front.,1,1,27.918834,-82.41985
1229,Enclosure of 10/4 transfer point,0,0,2010,NA,NULL,Enclosure of product transfer point 10/4.,1,1,27.86714745,-82.35780285
1226,South Bayshore Blvd,2010,0,0,3017298,"Ad valorum, WMLTF, DEP 319(h) Grant","This project is in response to a FY2010 Cooperative Funding 
request by the City of Safety Harbor to design, permit
and construct best management practices (BMP's) targeted to 
improve water quality, address impaired waterbodies
(WBID 1569, 1574 and 1",1,1,27.987333,-82.690333
1224,River Tower SWIM Improvements,2005,0,0,2590000,NULL,"This stormwater retrofit project will include 
construction of a diversion structure in-line with 
an existing 78"" FDOT storm sewer line along 
the east side of I-275.  The diversion structure 
will redirect lower flows to a wet detention 
pond to be",1,1,28.02255019,-82.45791678
1218,Sediment Trap NSBB:  Brorien St,2010,0,0,NA,NULL,"Installation of a SunTree NSBB at Brorein St on 
west bank of the Hillsborough River.  Total 
treated acres is approximately 3 acres.",1,1,27.94357032,-82.45707925
1203,TBEP Test 8-23-2012,2007,0,2008,"$250,000",TBEF,Some text here.,1,1,27.5,-82.3
1202,Cladas_Test,0,0,2011,245000,NULL,Just testing,1,1,27.38,-82.032
1201,Robles Park Stormwater Improvements,2010,0,0,NA,SWFWMD Cooperative Funding,"This is a SWFWMD-initiative project with 
funding assistance from the City and FDOT.  
The ultimate goal of the project is to construct 
stormwater improvements that will provide 
stormwater treatment and pollutant removal 
from approximately 180 acr",1,1,27.973436,-82.454922
1200,Floating Wetland Island Nutrient Abatement,0,0,0,"$250,000",Cooperatively funded project with the SWFWMD,"Today, approximately 30 percent of the 
reclaimed water produced by the County is 
reused in the Hillsborough Bay drainage 
basin. This basin also represents the area 
where most of the future growth in reclaimed 
water customers is projected. Howeve",1,1,0,0
1199,Floating Wetland Island Nutrient Abatement,0,0,0,NA,NULL,NULL,1,1,0,0
1198,New River Bacteria Source Assessment,2010,0,2011,NA,NULL,"Bacteria source tracking study results in the New
River subbasin of the Hillsborough River watershed.",1,1,0,0
1197,TBEP Test July 2012 Test 3,0,0,0,NA,NA,NULL,1,1,0,0
1196,TBEP Test July 2012 Test 2,NA,NA,NA,NULL,NA,NULL,NA,NA,NA,NA
1195,Testing Project Entry july 2012,2009,0,2010,"1,250,000",NULL,NULL,1,1,27.5,-82.41
1194,Agricultural BMPs,2008,0,0,NA,NULL,"Agricultural BMPs are practical, cost-effective 
actions that agricultural producers can take to 
reduce the amount of pesticides, fertilizers, 
animal waste, and other pollutants entering 
our water resources, and to increase water-
use efficiencies",1,1,27.481471,-82.41394
1193,Agricultural BMPs,2008,0,0,NA,NULL,"Agricultural BMPs are practical, cost-effective 
actions that agricultural producers can take to 
reduce the amount of pesticides, fertilizers, 
animal waste, and other pollutants entering 
our water resources, and to increase water-
use efficiencies",1,1,27.535065,-82.345276
1192,Agricultural BMPs,2008,0,0,NA,NULL,"Agricultural BMPs are practical, cost-effective 
actions that agricultural producers can take to 
reduce the amount of pesticides, fertilizers, 
animal waste, and other pollutants entering 
our water resources, and to increase water-
use efficiencies",1,1,27.751608,-82.054138
1191,Agricultural BMPs,NA,NA,NA,NULL,NA,NULL,NA,NA,NA,NA
1190,Agricultural BMPs,2008,0,0,NA,NULL,"Agricultural BMPs are practical, cost-effective 
actions that agricultural producers can take to 
reduce the amount of pesticides, fertilizers, 
animal waste, and other pollutants entering 
our water resources, and to increase water-
use efficiencies",1,1,27.732161,-82.040405
1189,Agicultural BMPs,2008,0,0,NA,NULL,"Agricultural BMPs are practical, cost-effective 
actions that agricultural producers can take to 
reduce the amount of pesticides, fertilizers, 
animal waste, and other pollutants entering 
our water resources, and to increase water-
use efficiencies",1,1,27.732161,-82.040405
1188,test,NA,NA,NA,NULL,NA,NULL,NA,NA,NA,NA
1187,Agricultural BMPs,2008,0,0,NA,NULL,"Agricultural BMPs are practical, cost-effective 
actions that agricultural producers can take to 
reduce the amount of pesticides, fertilizers, 
animal waste, and other pollutants entering 
our water resources, and to increase water-
use efficiencies",1,1,27.732161,-82.040405
1185,New River Bacteria Source Assessment,0,0,0,NA,NULL,NULL,1,1,0,0
1183,test,NA,NA,NA,NULL,NA,NULL,NA,NA,NA,NA
1181,BMP Implementation,0,0,0,NA,NA,NULL,1,1,0,0
1180,TAC Test,0,0,0,NA,NA,NULL,1,1,0,0
1179,Reclaimed Water Reservoir Floating Wetland Island,2013,0,0,"$250,000",Cooperatively funded project with the SWFWMD.,"Today, approximately 30 percent of the 
reclaimed water produced by the County is 
reused in the Hillsborough Bay drainage 
basin. This basin also represents the area 
where most of the future growth in reclaimed 
water customers is projected. Howeve",1,1,28.248678,-82.267285
1178,TBEP PS,2011,0,2012,"20,000,000",Cooperative funding,Descriptive text,1,1,27.9,-82.41
1177,TBEP NPS Project,2007,0,2011,"3,500,999",Ad valorum,NULL,1,1,27.855,-82.409
1176,TBEP PS Test,2010,0,2012,"3,500,999",CIP,TB Loads file >1MB,1,1,27.853,-82.2
1175,"TBEP Test Project April 04, 2012",2008,0,2010,1250000,Co-operative funding,Description,1,1,27.852109,-82.153015
1174,test,0,0,0,NA,NA,NULL,1,1,0,0
1173,TBEP Test Project,2007,0,2009,"1,250,000",319h Grant,Test files,1,1,27.945,-82.409
1172,test,0,0,0,NA,NA,NULL,1,1,0,0
1171,test,NA,NA,NA,NULL,NA,NULL,NA,NA,NA,NA
1170,test,0,0,0,NA,NA,NULL,1,1,0,0
1169,NMC Test,2011,0,2012,"125,000",319h Grant,Plans for creek restoration.,1,1,27.9,-82.3
1168,123test,0,0,0,NA,NA,NULL,1,1,0,0
1167,1234test,NA,NA,NA,NULL,NA,NULL,NA,NA,NA,NA
1166,201032-2 - I-75 at SR 70 Interchange,2012,0,0,NA,NULL,"FPID 201032-2 will improve the I-75 and SR 70 
interchange in Manatee County including 
stormwater treatment facilities.",1,1,27.44,-82.46
1164,Dog Waste Signs,2008,0,0,$300/Year,Utilities Revenues,"Ongoing program that involves the installation 
of signs that say â€œDog Waste Transmits 
Disease and Contaminates our Water: Leash 
and Pick Up After Your Dogâ€ù in public areas 
where dog waste has become a notable 
problem",1,1,28.01077036,-82.12486267
1163,test,NA,NA,NA,NULL,NA,NULL,NA,NA,NA,NA
1162,test,NA,NA,NA,NULL,NA,NULL,NA,NA,NA,NA
1161,test,0,0,0,NA,NA,NULL,1,1,0,0
1159,Illicit Discharge Complaint Investigations,1993,0,0,NA,NULL,Illicit discharge investigations are a part of our NPDES Permit requirments in which we investigate and perform corrective actions on any illicit discharges affecting our MS4.,1,1,27.95316489,-81.91543579
1158,test,NA,NA,NA,NULL,NA,NULL,NA,NA,NA,NA
1157,test,NA,NA,NA,NULL,NA,NULL,NA,NA,NA,NA
1156,TEST 2,NA,NA,NA,NULL,NA,NULL,NA,NA,NA,NA
1155,TEST,0,0,0,8000000,NULL,blah blah blah,1,1,0,0
1154,test,NA,NA,NA,NULL,NA,NULL,NA,NA,NA,NA
1153,test,NA,NA,NA,NULL,NA,NULL,NA,NA,NA,NA
1152,Josh's Test March 16,2012,0,0,"$5,000",AMEC F&A,Some Description here,1,1,36.4,-86.38
1151,GM test,NA,NA,NA,NULL,NA,NULL,NA,NA,NA,NA
1150,TEST,NA,NA,NA,NULL,NA,NULL,NA,NA,NA,NA
1149,Brians Test,0,0,0,NA,NA,NULL,1,1,0,0
1148,Ed's Test Project,2010,0,0,"1,250,000",Ad valoreum,Description,1,1,27.945,-82.409
1147,NA,NA,NA,NA,NULL,NA,NULL,NA,NA,NA,NA
1146,NA,NA,NA,NA,NULL,NA,NULL,NA,NA,NA,NA
1145,NA,0,0,0,NA,NA,NULL,1,1,0,0
1144,Testing Project Entry,2012,0,0,"$5,000",NA,NULL,1,1,28.35,-86.38
1143,Testing Project Entry,0,0,0,NA,NA,NULL,1,1,0,0
1142,NA,0,0,0,NA,NA,NULL,1,1,0,0
1082,Septic Tank Abandonment or Connection to Sanitary Sewer,0,0,0,$0.00,COL General Fund - Utility Fund,Identification & quantification of nutrient reductions achieved by eliminating septic tanks in the City of Lakeland and surrounding areas.,1,1,28.019236,-82.21548
1081,Enclosure of the 9/4 Transfer Point,0,0,2009,$0.00,NULL,Enclosure of product transfer point 9/4.,1,1,27.86714745,-82.35780285
1079,Tampa Bay Regional Surface Water Treatment Plant Expansion,2008,2009,0,$0.00,NULL,same as ID 1078 - different basin,1,1,28.019236,-82.21548
1077,Tampa Bay Water Regional Surface Water Treatment Plant,0,2009,0,$0.00,NULL,NULL,1,1,28.019236,-82.21548
1076,Tampa Bay Water Regional Surface Water Treatment Plant,0,2009,0,$0.00,NULL,NULL,1,1,28.019236,-82.21548
1075,Tampa Bay Water Regional Surface Water Treatment Plant,0,2009,2006,$0.00,NA,NA,1,0,28.019236,-82.21548
1074,Tampa Bay Water Regional Surface Water Treatment Plant,0,2008,2006,$0.00,NA,NA,1,0,28.019236,-82.21548
1073,Tampa Bay Water Regional Surface Water Treatment Plant,0,2009,2005,$0.00,NA,NA,1,0,28.019236,-82.21548
1055,SR 583/56th Street CDS,0,0,0,$0.00,NA,NA,0,0,27.86714745,-82.35780285
1049,Margaret Manor Subdivision Drainage Improvements,0,0,0,"$1,425,000.00",LOST,The City will install a drainage system within the Margaret Manor subdivision to collect and convey the stormwater to McKay Creek.,0,0,27.86714745,-82.35780285
1040,Stormwater Filtration Units,0,0,0,$0.00,NA,This project consists of installation of in-line treatment systems at various locations throughout the City to improve water quality.,0,0,28.012172,-82.609611
1038,Alum Treatment Facility Improvements,0,0,0,"$450,000.00","stormwater fund, grant","The operation of the alum treatment system contributes to compliance with the City of Largo Municipal Stormwater Permit and pending Total Maximum Daily Load regulations, which are administered by the Florida Department of Environmental Protection.",0,0,27.826351,-82.752508
1037,Annual Stormwater Replacement Program,0,0,0,$0.00,LOST,The purpose of this program is to replace substandard and failing stormwater pipe and subsurface drains throughout the City of Largo.,0,0,28.012172,-82.609611
1035,131st Avenue/131st Place Sewer Extension Project,0,0,0,$0.00,NA,Planned for 2009. Will eliminate 6-8 septic systems in the McKay Creek Drainage basin.,0,0,27.826351,-82.752508
1034,10th Street SW Sewer Extension Project,0,0,0,$0.00,NA,Proposed for FY 2008 (Pending easement acquisition). This proejct will eliminate 5 septic tanks near Taylor Lake in McKay Creek Drainage basin.,0,0,27.86714745,-82.35780285
1030,Lucymar Subdivision Drainage Improvements,2012,2012,0,"$350,000.00",Community Development - CDBG,"The proposed improvements include evaluation, redesign and reconstruction of the drainage system within the Lucymar subdivision.",1,1,28.012172,-82.609611
1029,Suncoast Hospital Drainage Ditch Improvements,0,0,0,"$1,400,000.00",Community Development -LOST,"The purpose of this project is to make improvements to the drainage ditch that runs along the south side of the Suncoast Hospital, from Indian Rocks Road  to Pocahontas Drive.",0,0,27.86714745,-82.35780285
1028,Kent Place Drainage Ditch Improvements,0,0,0,"$2,120,000.00",Community Development - LOST,The purpose of this project is to make improvements to segments of two (2) drainage ditches located in the Allen's Creek basin.,0,0,28.012172,-82.609611
1027,Longbow Lane Drainage Improvements,0,0,0,"$350,000.00",Community Development - LOST,"This project will establish drainage outfalls to area channels and lakes, and repair or replace existing drainage outfalls from the neighborhood to the Allen's Creek drainage system.",0,0,28.012172,-82.609611
1026,Privately-owned collection and transmission system program,0,0,0,$0.00,permit fees,"A permit-based, inspection/education/enforcement program that has significantly reduced sanitary sewer overflows throughout Largo Sewer District.",0,0,27.826351,-82.752508
1025,Commercial User Program,0,0,0,$0.00,permit fees,"A permit-based, inspection/education/enforcement program that has significantly reduced sanitary sewer overflows throughout Largo Sewer District.",0,0,27.826351,-82.752508
1017,Bacteria at Ben T. Davis Beach,0,0,0,$0.00,NA,"Replacing 2,800 ft. of sewage pipes near Ben T. Davis beach.",0,0,28.012172,-82.609611
1009,P2 Week - Electronic Waste,0,0,0,$0.00,NA,EPC-HC has partnered with Hills. Co. Solid Waste Mgmt. Dept. for electronic waste recycling this year.,0,0,27.86714745,-82.35780285
1005,NA,0,0,0,$0.00,NA,NA,0,0,27.86714745,-82.35780285
1004,Green City,0,0,0,$0.00,NA,City is working towards a Sierra Club designation as a Green City and a Cool City.,0,0,27.79,-82.442
1001,C2 Transfer Point Enclosure,2006,0,0,$0.00,Company funds,"A new expanded enclosure to house the 
entire Ã¢â‚¬Å“footprintÃ¢â‚¬Âù of the conveyor belt 
at the C2/C3 transfer point.",1,1,27.918834,-82.41985
999,Tropicanca Field Stormwater Enhancements and Education,0,0,0,"$818,500.00",NA,NA,0,0,27.826351,-82.752508
995,Support for Mulitple Public Education Projects,0,0,0,$0.00,NA,"Support for many public education projects such as Fantasy Island restoration, Bay Spirit Vess with Florida Aquarium, Hillsborough Bay Boater's Guide.",0,0,28.019236,-82.21548
