Unique_Project_ID,Project_Name,Bay_Segment,Lead_Entity,Project_Activity,Project_Technology,Completion_Date,TN_Reduction_lbs_yr,ProjectLatitude,ProjectLongitude,Acres,ActualProjectCost
1032,Safety Harbor Stormwater Retrofit Project,Old Tampa Bay,City of Safety Harbor,Nonpoint_Source,BMP_Management,1995,1079.4,28.012172,-82.609611,,NA
1033,Roosevelt Creek Stormwater - Phase I,Old Tampa Bay,Pinellas County,Nonpoint_Source,BMP_Stormwater_Pond,2002,109.1,28.012172,-82.609611,,"$1,300,000.00 "
1034,Septic To Sewer Conversions In Largo,Old Tampa Bay,City of Largo,Nonpoint_Source,Send_to_WWTP,1997,3000,28.012172,-82.609611,,"$1,900,000.00 "
1035,Alligator Creek Pond at Logan Street,Old Tampa Bay,Pinellas County,Nonpoint_Source,BMP_Stormwater_Pond,2002,431.8,28.012172,-82.609611,,"$1,400,000.00 "
1036,Bayside Bridge Pond Rehabilitation,Old Tampa Bay,Pinellas County,Nonpoint_Source,BMP_Stormwater_Pond,2004,11.4,28.012172,-82.609611,,"$200,000.00 "
1037,Lake Maggiore Alum Injection,Middle Tampa Bay,City of St. Petersburg,Nonpoint_Source,BMP_Alum_Treatment,1998,6212,27.662673,-82.215645,,"$4,000,000.00 "
1038,Mirror Lake Stormwater Retrofit,Middle Tampa Bay,City of St. Petersburg,Nonpoint_Source,BMP_Management,2000,1553,27.662673,-82.215645,,"$529,000.00 "
1039,Pinellas Park Channel 2 Alum Stormwater Retrofit Project,Middle Tampa Bay,City of Pinellas Park,Nonpoint_Source,BMP_Treatment_Train,1998,272,27.662673,-82.215645,,NA
1040,Haynsworth Tract Regional Stormwater Treatment Facility,Middle Tampa Bay,SWFWMD,Nonpoint_Source,BMP_Treatment_Train,1998,NA,27.662673,-82.215645,,"$1,201,188.00 "
1041,Cockroach Bay Regional Stormwater Treatment Facility,Middle Tampa Bay,SWFWMD,Nonpoint_Source,BMP_Stormwater_Pond,1997,NA,27.662673,-82.215645,,"$780,000.00 "
1042,Little Manatee River Land Acquisition Project,Middle Tampa Bay,SWFWMD,Habitat_Protection,Acquisition,1995,NA,27.662673,-82.215645,,NA
1043,Sawgrass Lake Pond (Haynesworth Tract),Middle Tampa Bay,Pinellas County,Nonpoint_Source,BMP_Stormwater_Pond,1999,480.3,27.662673,-82.215645,,"$1,500,000.00 "
1044,Overlay District Projects - Development,Lower Tampa Bay,Manatee County,Nonpoint_Source,BMP_Management,2000,2057.1,27.59344,-82.675961,,NA
1045,Overlay District Projects - Agriculture,Lower Tampa Bay,Manatee County,Nonpoint_Source,BMP_Management,2000,17154.5,27.59344,-82.675961,,NA
1046,Land Acquisition/Management Project,Lower Tampa Bay,Manatee County,Habitat_Protection,Acquisition,2000,NA,27.59344,-82.675961,,NA
1047,Allens Creek Rehabilitation at Lake View and Hercules (Red Maple Swamp),Old Tampa Bay,City of Clearwater,Nonpoint_Source,BMP_Wetland_Treatment,1999,1401.9,27.95993401,-82.71747599,,"$1,803,310.00 "
1048,Lowry Park Zoo Stormwater Rehabilitation,Hillsborough Bay,SWFWMD,Nonpoint_Source,BMP_Stormwater_Pond,2002,205.2,28.013639,-82.467792,,"$344,894.00 "
1049,McKay Bay (Eastshore Commerce Park) (Melbourne Pond) Drainage Basin Rehabilitation,Hillsborough Bay,Tampa Bay Water/SWFWMD,Nonpoint_Source,BMP_Wetland_Treatment,2006,880,27.962889,-82.347508,,"$1,010,000.00 "
1050,Cockroach Bay Restoration Project,Middle Tampa Bay,SWFWMD,Habitat_Establishment,Uplands,1996,570.9,27.662673,-82.215645,,"$6,300,000.00 "
1051,Lake Maggiore Dredging Project,Middle Tampa Bay,City of St. Petersburg,Habitat_Enhancement,Dredging,2006,3425.7,27.662673,-82.215645,,"$13,000,000.00 "
1052,Lake Tarpon Stormwater Treatment (Areas 44/47),Old Tampa Bay,Pinellas County,Nonpoint_Source,BMP_Management,2012,559.2,28.012172,-82.609611,,"$460,000.00 "
1053,Assist businesses in implementing site management practices to reduce stormwater runoff,All Segments,EPCHC,Nonpoint_Source,Education,2000,NA,27.86714745,-82.35780285,,"$400,000.00 "
1054,Brooker / Anclote Corridor Land Acquisition -1,Old Tampa Bay,Pinellas County,Habitat_Protection,Acquisition,2001,NA,28.012172,-82.609611,,"$411,500.00 "
1055,Brooker Creek Land Acquisition -1,Old Tampa Bay,Pinellas County,Habitat_Protection,Acquisition,2001,NA,28.012172,-82.609611,,"$5,382,000.00 "
1056,Brooker / Anclote Corridor Land Acquisition -2,Old Tampa Bay,Pinellas County,Habitat_Protection,Acquisition,2001,NA,28.012172,-82.609611,,"$105,000.00 "
1057,Brooker / Anclote Corridor Land Acquisition -3,Old Tampa Bay,Pinellas County,Habitat_Protection,Acquisition,2001,NA,28.012172,-82.609611,,"$450,000.00 "
1058,Brooker Creek Land Acquisition -2,Old Tampa Bay,Pinellas County,Habitat_Protection,Acquisition,2001,NA,28.012172,-82.609611,,"$46,800.00 "
1059,Wall Springs Land Acquisition -2,Old Tampa Bay,Pinellas County,Habitat_Protection,Acquisition,2001,NA,28.012172,-82.609611,,"$21,450,000.00 "
1060,Mitigation Recommendations,All Segments,TBRPC,Nonpoint_Source,Education,2005,NA,27.86714745,-82.35780285,,NA
1061,Recommendation of no-vehicle access areas,All Segments,TBRPC,Nonpoint_Source,Education,2005,NA,27.86714745,-82.35780285,,NA
1062,Apollo Beach Cargill Park - Land Acquisition,Hillsborough Bay,Hillsborough County,Habitat_Protection,Acquisition,1996,NA,28.019236,-82.21548,,"$2,066,258.00 "
1063,Balm Scrub - Land Acquisition,Hillsborough Bay,Hillsborough County,Habitat_Protection,Acquisition,1997,NA,28.019236,-82.21548,,"$3,183,740.00 "
1064,Bell Creek Preserve - Land Acquisition,Hillsborough Bay,Hillsborough County,Habitat_Protection,Acquisition,1997,NA,27.860109,-82.279682,,"$2,788,117.00 "
1065,Blackwater Creek - Land Acquisition,Hillsborough Bay,Hillsborough County,Habitat_Protection,Acquisition,1997,NA,28.12855,-82.154224,,"$4,314,525.00 "
1066,Boy Scout - Land Acquisition,Hillsborough Bay,Hillsborough County,Habitat_Protection,Acquisition,1999,NA,27.880411,-82.199707,,"$51,355.00 "
1067,Port Redwing - Land Acquisition,Hillsborough Bay,Hillsborough County,Habitat_Protection,Acquisition,1995,NA,27.86714745,-82.35780285,,"$750,000.00 "
1068,Retrofit the County's Resource Recovery Facility,Hillsborough Bay,Hillsborough County,Nonpoint_Source,BMP_Management,2000,NA,27.86714745,-82.35780285,,NA
1069,Hillsborough County Reclaimed Water Use System,Hillsborough Bay,Hillsborough County,Point_Source,Increase_Reuse,2005,NA,28.019236,-82.21548,,NA
1070,Support standardized monitoring of wastewater discharges,Hillsborough Bay,Hillsborough County,Point_Source,Management,2005,NA,28.019236,-82.21548,,NA
1071,SCADA for monitoring pump station failure,Hillsborough Bay,Hillsborough County,Point_Source,Management,2011,NA,28.019236,-82.21548,,NA
1072,Hillsborough County Watershed Management Plans,All Segments,Hillsborough County,Nonpoint_Source,BMP_Managment,2002,NA,27.86714745,-82.35780285,,NA
1073,Atmospheric deposition studies,All Segments,Pinellas County,Nonpoint_Source,Atmospheric_Deposition,2002,NA,27.86714745,-82.35780285,,NA
1074,development of standardized mitigation guidelines,All Segments,Pinellas County,Nonpoint_Source,Education,2000,NA,27.86714745,-82.35780285,,NA
1075,Seagrass scar reduction efforts,All Segments,Pinellas County,Habitat_Protection,Protection,1997,NA,27.86714745,-82.35780285,,"$74,000.00 "
1076,Urban retrofit projects,Middle Tampa Bay,City of St. Petersburg,Nonpoint_Source,BMP_Management,2004,118.8,27.79,-82.442,,"$50,000.00 "
1077,Multiple habitat restoration and protection projects,Hillsborough Bay,Tampa Port Authority,Habitat_Protection,Protection,2004,NA,28.019236,-82.21548,,"$400,000.00 "
1078,Support consent orders for clean up of fertilizer facilities,Hillsborough Bay,FDEP,Point_Source,Regulation,2000,NA,27.79,-82.442,,NA
1079,Tampa Bay Water Regional Surface Water Treatment Plant,Hillsborough Bay,Tampa Bay Water,Nonpoint_Source,Send_to_WWTP,2003,72440,28.019236,-82.21548,,"$84,000,000.00 "
1080,Kapok Restoration Project,Old Tampa Bay,City of Clearwater,Nonpoint_Source,BMP_Treatment_Train,2006,644,28.012172,-82.609611,,"$13,514,272.00 "
1081,Cliff Stephens Park Stormwater Retrofitting,Old Tampa Bay,City of Clearwater,Nonpoint_Source,BMP_Wetland_Treatment,2002,11600,28.012172,-82.609611,,"$690,000.00 "
1082,Channel B Stabilization,Old Tampa Bay,City of Clearwater,Nonpoint_Source,BMP_Management,2001,NA,28.012172,-82.609611,,"$503,000.00 "
1083,Moccasin Lake Park Restoration,Old Tampa Bay,City of Clearwater,Habitat_Establishment,Mangrove,2001,NA,28.012172,-82.609611,,"$460,000.00 "
1084,High Ridge Estates,Old Tampa Bay,Pinellas County,Nonpoint_Source,BMP_Management,1992,87.2,28.012172,-82.609611,,NA
1085,McMullen Booth Road @ Curlew Road,Old Tampa Bay,Pinellas County,Nonpoint_Source,BMP_Treatment_Train,2003,NA,28.03999767,-82.71020925,,NA
1086,Alligator Lake/Ruth Eckerd Wetland Creation,Old Tampa Bay,City of Clearwater,Nonpoint_Source,BMP_Wetland_Treatment,2008,58.1,27.976967,-82.703099,,"$1,400,000.00 "
1087,Mobbly Bayou Wilderness Preserve Restoration,Old Tampa Bay,Pinellas County,Habitat_Enhancement,Exotic_Removal,2009,NA,28.012172,-82.609611,,"$2,140,839.00 "
1088,St. Paul's Drive Restoration,Old Tampa Bay,Pinellas County,Habitat_Establishment,Freshwater_Wetland,1997,NA,28.012172,-82.609611,,NA
1089,Hillsborough Heights project,Hillsborough Bay,Hillsborough County,Nonpoint_Source,BMP_Management,2003,NA,28.019236,-82.21548,,"$145,000.00 "
1090,Lower Bullfrog Creek - habitat restoration,Hillsborough Bay,SWFWMD,Habitat_Establishment,Salt_Marsh,2001,NA,28.019236,-82.21548,,"$571,351.00 "
1091,Wolf Branch Creek #1 - habitat creation (Phases I & II),Hillsborough Bay,SWFWMD,Habitat_Establishment,Salt_Marsh,2003,NA,28.019236,-82.21548,,"$4,019,480.00 "
1092,Fort Brooke/Cotanchobee Park Shoreline - habitat restoration,Hillsborough Bay,SWFWMD,Habitat_Establishment,Salt_Marsh,2002,NA,28.019236,-82.21548,,"$272,625.00 "
1093,McKay Bay Watershed Projects,Hillsborough Bay,Hillsborough County,Nonpoint_Source,BMP_Management,2006,NA,27.936119,-82.423841,,NA
1094,Manatee Protection Zones,Lower Tampa Bay,Manatee County,Habitat_Protection,Protection,2004,NA,27.59344,-82.675961,,NA
1095,Largo Regional Stormwater Treatment Facility Educational Boardwalk System,Old Tampa Bay,SWFWMD,Nonpoint_Source,Education,2002,NA,28.012172,-82.609611,,"$782,101.00 "
1096,South Green Springs Phase Two Stormwater Retrofit Project,Old Tampa Bay,SWFWMD,Nonpoint_Source,BMP_Management,2002,163.8,28.012172,-82.609611,,"$766,172.00 "
1097,Largo Stormwater Retrofit - CDS Units,Old Tampa Bay,SWFWMD,Nonpoint_Source,BMP_CDS_Unit,2002,63.1,28.012172,-82.609611,,"$209,301.00 "
1098,Lake Tomlinson Restoration,Middle Tampa Bay,SWFWMD,Habitat_Establishment,Freshwater_Wetland,2002,NA,27.662673,-82.215645,,"$389,511.00 "
1099,St. Petersburg Retrofit - CDS Units (storage yard under 1-275),Middle Tampa Bay,SWFWMD,Nonpoint_Source,BMP_CDS_Unit,2002,4.7,27.662673,-82.215645,,"$109,301.00 "
1100,Bishop Creek Streambank Protection,Old Tampa Bay,SWFWMD,Nonpoint_Source,BMP_Management,2002,3.3,28.012172,-82.609611,,"$510,000.00 "
1101,"Howard Frankland Habitat Restoration ""Gateway""",Old Tampa Bay,SWFWMD,Habitat_Establishment,Uplands,2004,NA,27.88371021,-82.66328692,,"$2,931,676.00 "
1102,South Tampa Greenway/Tappan Habitat Restoration Site,Hillsborough Bay,SWFWMD,Habitat_Protection,Acquisition,2004,NA,27.86109007,-82.53022555,,"$492,861.00 "
1103,Palm River Restoration,Hillsborough Bay,SWFWMD,Habitat_Establishment,Mangrove,2005,NA,27.949071,-82.385384,,"$4,400,000.00 "
1104,Schultz Nature Park,Hillsborough Bay,SWFWMD,Habitat_Establishment,Freshwater_Wetland,2004,NA,28.019236,-82.21548,,NA
1105,Schultz Nature Park,Hillsborough Bay,SWFWMD,Habitat_Establishment,Mangrove,2004,NA,28.019236,-82.21548,,NA
1106,Schultz Nature Park,Hillsborough Bay,SWFWMD,Habitat_Establishment,Salt_Marsh,2004,NA,28.019236,-82.21548,,NA
1107,Alligator Lake Restoration,Old Tampa Bay,Pinellas County,Habitat_Establishment,Freshwater_Wetland,2011,NA,28.012172,-82.609611,,NA
1108,Broadway Outfall Stormwater Retrofit Project,Hillsborough Bay,SWFWMD,Nonpoint_Source,BMP_CDS_Unit,2001,139,28.02665,-82.391748,,"$1,390,262.00 "
1109,Install and monitor curb inlet protectors,Hillsborough Bay,TBEP,Nonpoint_Source,BMP_Management,2000,NA,28.019236,-82.21548,,"$5,000.00 "
1110,City of Largo Reclaimed Water (Reuse),Old Tampa Bay,City of Largo,Point_Source,Increase_Reuse,1997,58592.7,28.012172,-82.609611,,$0.00 
1111,Dale Mabry Reclaimed,Hillsborough Bay,Hillsborough County,Point_Source,Increase_Reuse,1995,10946.2,28.068939,-82.527091,,$0.00 
1112,Van Dyke Reclaimed,Hillsborough Bay,Hillsborough County,Point_Source,Increase_Reuse,1995,3052.7,28.14314,-82.546069,,$0.00 
1113,Northwest and River Oaks Reclaimed,Hillsborough Bay,Hillsborough County,Point_Source,Increase_Reuse,1995,6472,28.084615,-82.605692,,$0.00 
1114,Falkenburg & Valrico Reclaimed,Hillsborough Bay,Hillsborough County,Point_Source,Increase_Reuse,1995,12186.6,27.952572,-82.335168,,$0.00 
1115,South County Reuse System,Hillsborough Bay,Hillsborough County,Point_Source,Increase_Reuse,1995,35451,27.723974,-82.385701,,$0.00 
1116,McKay Bay Refuse-to-Energy Retrofit Project,All Segments,City of Tampa,Nonpoint_Source,Atmospheric_Deposition,2001,NA,27.79,-82.442,,"$89,000,000.00 "
1117,Booker Lake Alum Treatment Facility,Middle Tampa Bay,City of St. Petersburg,Nonpoint_Source,BMP_Alum_Treatment,2009,522.9,27.662673,-82.215645,,"$1,000,000.00 "
1118,McKay Bay-East Shore Commerce Park Parcel Stormwater Retrofit,Hillsborough Bay,SWFWMD,Nonpoint_Source,BMP_Treatment_Train,2006,2296.4,27.962889,-82.347508,,"$1,472,883.00 "
1119,MiraBay Property,Hillsborough Bay,Hillsborough County,Nonpoint_Source,BMP_Wetland_Treatment,1999,1340.5,27.748674,-82.429575,,$0.00 
1120,Balm Road Wetland and Stormwater Treatment Facility,Hillsborough Bay,Hillsborough County,Nonpoint_Source,BMP_Wetland_Treatment,2004,910.3,27.744119,-82.290208,,"$1,500,000.00 "
1121,Stormwater Research Facility at 132nd and Taliaferro,Hillsborough Bay,Hillsborough County,Nonpoint_Source,BMP_Stormwater_Pond,2002,26.9,28.066534,-82.453662,,"$250,000.00 "
1122,Alafia Banks Restoration Settling Pond,Hillsborough Bay,Mosaic,Nonpoint_Source,BMP_Stormwater_Pond,2011,61.1,27.863575,-82.385047,,"$200,000.00 "
1123,McIntosh Park Water Quality/Wetland Enhancement,Hillsborough Bay,SWFWMD,Nonpoint_Source,BMP_Wetland_Treatment,2009,2763,28.071189,-82.129162,,"$3,824,564.00 "
1124,8th Biennial Conference of Stormwater Research & Watershed Management,All Segments,SWFWMD,Nonpoint_Source,Education,2004,NA,27.86714745,-82.35780285,,$0.00 
1125,Conference on Ecosystems Restoration & Creation,All Segments,TBEP,Habitat_Protection,Education,2004,NA,27.86714745,-82.35780285,,$0.00 
1126,Repowering Gannon Power Plant - Bayside Facility,Old Tampa Bay,TECO,Nonpoint_Source,Atmospheric_Deposition,2003,3877,28.012172,-82.609611,,$0.00 
1127,Repowering Gannon Power Plant - Bayside Facility,Hillsborough Bay,TECO,Nonpoint_Source,Atmospheric_Deposition,2003,2592,28.019236,-82.21548,,$0.00 
1128,Repowering Gannon Power Plant - Bayside Facility,Hillsborough Bay,TECO,Nonpoint_Source,Atmospheric_Deposition,2003,4137,28.019236,-82.21548,,$0.00 
1129,Repowering Gannon Power Plant - Bayside Facility,Hillsborough Bay,TECO,Nonpoint_Source,Atmospheric_Deposition,2003,882,28.019236,-82.21548,,$0.00 
1130,Repowering Gannon Power Plant - Bayside Facility,Hillsborough Bay,TECO,Nonpoint_Source,Atmospheric_Deposition,2003,3588,28.019236,-82.21548,,$0.00 
1131,Repowering Gannon Power Plant - Bayside Facility,Hillsborough Bay,TECO,Nonpoint_Source,Atmospheric_Deposition,2003,1189,28.019236,-82.21548,,$0.00 
1132,Repowering Gannon Power Plant - Bayside Facility,Lower Tampa Bay,TECO,Nonpoint_Source,Atmospheric_Deposition,2003,2915,27.59344,-82.675961,,$0.00 
1133,Repowering Gannon Power Plant - Bayside Facility,Hillsborough Bay,TECO,Nonpoint_Source,Atmospheric_Deposition,2003,70,28.019236,-82.21548,,$0.00 
1134,Big Bend Power Plant improvements,Old Tampa Bay,TECO,Nonpoint_Source,Atmospheric_Deposition,2004,942,28.012172,-82.609611,,$0.00 
1135,Big Bend Power Plant improvements,Hillsborough Bay,TECO,Nonpoint_Source,Atmospheric_Deposition,2004,630,28.019236,-82.21548,,$0.00 
1136,Big Bend Power Plant improvements,Hillsborough Bay,TECO,Nonpoint_Source,Atmospheric_Deposition,2004,1006,28.019236,-82.21548,,$0.00 
1137,Big Bend Power Plant improvements,Hillsborough Bay,TECO,Nonpoint_Source,Atmospheric_Deposition,2004,214,28.019236,-82.21548,,$0.00 
1138,Big Bend Power Plant improvements,Hillsborough Bay,TECO,Nonpoint_Source,Atmospheric_Deposition,2004,872,28.019236,-82.21548,,$0.00 
1139,Big Bend Power Plant improvements,Middle Tampa Bay,TECO,Nonpoint_Source,Atmospheric_Deposition,2004,289,27.662673,-82.215645,,$0.00 
1140,Big Bend Power Plant improvements,Lower Tampa Bay,TECO,Nonpoint_Source,Atmospheric_Deposition,2004,709,27.59344,-82.675961,,$0.00 
1141,Big Bend Power Plant improvements,Old Tampa Bay,TECO,Nonpoint_Source,Atmospheric_Deposition,2005,2507,28.012172,-82.609611,,$0.00 
1142,Big Bend Power Plant improvements,Hillsborough Bay,TECO,Nonpoint_Source,Atmospheric_Deposition,2005,1677,28.019236,-82.21548,,$0.00 
1143,Big Bend Power Plant improvements,Hillsborough Bay,TECO,Nonpoint_Source,Atmospheric_Deposition,2005,2676,28.019236,-82.21548,,$0.00 
1144,Big Bend Power Plant improvements,Hillsborough Bay,TECO,Nonpoint_Source,Atmospheric_Deposition,2005,570,28.019236,-82.21548,,$0.00 
1145,Big Bend Power Plant improvements,Middle Tampa Bay,TECO,Nonpoint_Source,Atmospheric_Deposition,2005,769,27.662673,-82.215645,,$0.00 
1146,Big Bend Power Plant improvements,Lower Tampa Bay,TECO,Nonpoint_Source,Atmospheric_Deposition,2005,1886,27.59344,-82.675961,,$0.00 
1147,Hookers Point facility - shut down,Old Tampa Bay,TECO,Nonpoint_Source,Atmospheric_Deposition,2002,81,28.012172,-82.609611,,$0.00 
1148,Hookers Point facility - shut down,Hillsborough Bay,TECO,Nonpoint_Source,Atmospheric_Deposition,2002,54,28.019236,-82.21548,,$0.00 
1149,Hookers Point facility - shut down,Hillsborough Bay,TECO,Nonpoint_Source,Atmospheric_Deposition,2002,85,28.019236,-82.21548,,$0.00 
1150,Hookers Point facility - shut down,Hillsborough Bay,TECO,Nonpoint_Source,Atmospheric_Deposition,2002,18,28.019236,-82.21548,,$0.00 
1151,Hookers Point facility - shut down,Middle Tampa Bay,TECO,Nonpoint_Source,Atmospheric_Deposition,2002,25,27.662673,-82.215645,,$0.00 
1152,Hookers Point facility - shut down,Lower Tampa Bay,TECO,Nonpoint_Source,Atmospheric_Deposition,2002,60,27.59344,-82.675961,,$0.00 
1153,Booker Lake Regional Stormwater Treatment Facility,Middle Tampa Bay,SWFWMD,Nonpoint_Source,BMP_Alum_Treatment,2011,NA,27.784186,-82.662602,,$0.00 
1154,FDOT 56th Street Retrofit,Hillsborough Bay,SWFWMD,Nonpoint_Source,BMP_Wetland_Treatment,2003,NA,28.025438,-82.393401,,$0.00 
1155,Gibsonton on the Bay,Hillsborough Bay,SWFWMD,Nonpoint_Source,BMP_CDS_Unit,2005,NA,28.019236,-82.21548,,"$806,247.00 "
1156,McKay Bay - Melbourne Pond SW,Hillsborough Bay,SWFWMD,Nonpoint_Source,BMP_Stormwater_Pond,2006,531,27.975039,-82.40983,,"$977,726.00 "
1157,Pond 56,Hillsborough Bay,SWFWMD,Nonpoint_Source,BMP_Stormwater_Pond,1998,NA,28.019236,-82.21548,,$0.00 
1158,River Hills Drive Outfall No. 1,Hillsborough Bay,SWFWMD,Nonpoint_Source,BMP_Management,2005,NA,28.023494,-82.400513,,$0.00 
1159,River Hills Drive Outfall No.2,Hillsborough Bay,SWFWMD,Nonpoint_Source,BMP_Management,2005,NA,28.023494,-82.400513,,$0.00 
1160,South Glen Arven Outfalls SW retrofit,Hillsborough Bay,SWFWMD,Nonpoint_Source,BMP_Management,2004,NA,28.019724,-82.382928,,$0.00 
1161,Sumner Road,Hillsborough Bay,SWFWMD,Nonpoint_Source,BMP_Management,2002,NA,27.752228,-82.335362,,$0.00 
1162,South MacDill 48 Property Acquisition,Hillsborough Bay,City of Tampa,Habitat_Protection,Acquisition,2002,NA,28.019236,-82.21548,,"$7,866,000.00 "
1163,River Tower Park Site Acquisition,Hillsborough Bay,City of Tampa,Habitat_Protection,Acquisition,2002,NA,28.021363,-82.457406,,"$285,000.00 "
1164,Cypress Point Park Restoration,Hillsborough Bay,City of Tampa,Habitat_Protection,Acquisition,2004,NA,28.019236,-82.21548,,"$250,000.00 "
1165,Ballast Point Shoreline Restoration,Hillsborough Bay,City of Tampa,Habitat_Establishment,Salt_Marsh,2004,NA,28.019236,-82.21548,,"$105,000.00 "
1166,Mosaic Riverview Closed Stack Lined Surge Ponds,Hillsborough Bay,Mosaic,Point_Source,Management,2004,3400,27.863575,-82.385047,,$0.00 
