Header_ID,Project_Name,Bay_Segment,Lead_Entity,Completion_Date,TP_Reduction_lbs_yr,TN_Reduction_lbs_yr,TSS_Reduction_lbs_yr
692,McKay Bay Refuse-to-Energy Retrofit Project,All Segments,City of Tampa,2001,,,
695,Booker Lake Alum Treatment Facility,Middle Tampa Bay,City of St. Petersburg,2009,204.1,522.9,21886
696,McKay Bay-East Shore Commerce Park Parcel Stormwater Retrofit,Hillsborough Bay,SWFWMD,2006,842.4,2296.4,250784
709,Brownfields Assessment Demonstration Project,Hillsborough Bay,Hillsborough County,2005,,,
711,MiraBay Property,Hillsborough Bay,Hillsborough County,1999,,1340.5,
712,Balm Road Wetland and Stormwater Treatment Facility,Hillsborough Bay,Hillsborough County,2004,385,910.3,8828
713,Stormwater Research Facility at 132nd and Taliaferro,Hillsborough Bay,Hillsborough County,2002,8.2,26.9,1457
719,Alafia Banks Restoration Settling Pond,Hillsborough Bay,Mosaic,2011,15.5,61.1,1407
742,McIntosh Park Water Quality/Wetland Enhancement,Hillsborough Bay,SWFWMD,2009,,2763,
745,8th Biennial Conference of Stormwater Research & Watershed Management,All Segments,SWFWMD,2004,,,
746,Conference on Ecosystems Restoration & Creation,All Segments,TBEP,2004,,,
749,Volunteer Hands-On Restoration Projects,All Segments,TBEP,2003,,,
750,Activities and Accomplishments,All Segments,TBEP,2002,,,
754,Oceanography Camp,All Segments,TBEP,2007,,,
757,Mangrove Bay Habitat Restoration Project – Phases I – III,Boca Ciega Bay,City of St. Petersburg,1995,,,
758,Bartlett Park Habitat Restoration Project,Boca Ciega Bay,City of St. Petersburg,1998,,,
759,Twin Brooks Habitat Restoration Project,Boca Ciega Bay,City of St. Petersburg,2001,,,
761,Repowering Gannon Power Plant - Bayside Facility,Old Tampa Bay,TECO,2003,,3877,
762,Repowering Gannon Power Plant - Bayside Facility,Hillsborough Bay,TECO,2003,,2592,
763,Repowering Gannon Power Plant - Bayside Facility,Hillsborough Bay,TECO,2003,,4137,
764,Repowering Gannon Power Plant - Bayside Facility,Hillsborough Bay,TECO,2003,,882,
765,Repowering Gannon Power Plant - Bayside Facility,Hillsborough Bay,TECO,2003,,3588,
766,Repowering Gannon Power Plant - Bayside Facility,Hillsborough Bay,TECO,2003,,1189,
767,Repowering Gannon Power Plant - Bayside Facility,Lower Tampa Bay,TECO,2003,,2915,
768,Repowering Gannon Power Plant - Bayside Facility,Hillsborough Bay,TECO,2003,,70,
769,Repowering Gannon Power Plant - Bayside Facility,Manatee River,TECO,2003,,1819,
770,Repowering Gannon Power Plant - Bayside Facility,Boca Ciega Bay,TECO,2003,,1413,
771,Big Bend Power Plant improvements,Old Tampa Bay,TECO,2004,,942,
772,Big Bend Power Plant improvements,Hillsborough Bay,TECO,2004,,630,
773,Big Bend Power Plant improvements,Hillsborough Bay,TECO,2004,,1006,
774,Big Bend Power Plant improvements,Hillsborough Bay,TECO,2004,,214,
775,Big Bend Power Plant improvements,Hillsborough Bay,TECO,2004,,872,
776,Big Bend Power Plant improvements,Middle Tampa Bay,TECO,2004,,289,
777,Big Bend Power Plant improvements,Lower Tampa Bay,TECO,2004,,709,
778,Big Bend Power Plant improvements,Terra Ceia Bay,TECO,2004,,2,
779,Big Bend Power Plant improvements,Manatee River,TECO,2004,,442,
780,Big Bend Power Plant improvements,Boca Ciega Bay,TECO,2004,,344,
781,Big Bend Power Plant improvements,Old Tampa Bay,TECO,2005,,2507,
782,Big Bend Power Plant improvements,Hillsborough Bay,TECO,2005,,1677,
783,Big Bend Power Plant improvements,Hillsborough Bay,TECO,2005,,2676,
784,Big Bend Power Plant improvements,Hillsborough Bay,TECO,2005,,570,
785,Big Bend Power Plant improvements,Manatee River,TECO,2005,,2321,
786,Big Bend Power Plant improvements,Middle Tampa Bay,TECO,2005,,769,
787,Big Bend Power Plant improvements,Lower Tampa Bay,TECO,2005,,1886,
788,Big Bend Power Plant improvements,Terra Ceia Bay,TECO,2005,,4,
789,Big Bend Power Plant improvements,Manatee River,TECO,2005,,1176,
790,Big Bend Power Plant improvements,Boca Ciega Bay,TECO,2005,,915,
791,Hookers Point facility - shut down,Old Tampa Bay,TECO,2002,,81,
792,Hookers Point facility - shut down,Hillsborough Bay,TECO,2002,,54,
793,Hookers Point facility - shut down,Hillsborough Bay,TECO,2002,,85,
794,Hookers Point facility - shut down,Hillsborough Bay,TECO,2002,,18,
795,Hookers Point facility - shut down,Manatee River,TECO,2002,,74,
796,Hookers Point facility - shut down,Middle Tampa Bay,TECO,2002,,25,
797,Hookers Point facility - shut down,Lower Tampa Bay,TECO,2002,,60,
798,Hookers Point facility - shut down,Terra Ceia Bay,TECO,2002,,1,
799,Hookers Point facility - shut down,Manatee River,TECO,2002,,38,
800,Hookers Point facility - shut down,Boca Ciega Bay,TECO,2002,,29,
801,141st Avenue Outfall,Boca Ciega Bay,SWFWMD,2007,,,
802,Booker Lake Regional Stormwater Treatment Facility,Middle Tampa Bay,SWFWMD,2011,,,
803,Clam Bayou SW Treatment,Boca Ciega Bay,SWFWMD,2004,,,
804,FDOT 56th Street Retrofit,Hillsborough Bay,SWFWMD,2003,,,
805,Gibsonton on the Bay,Hillsborough Bay,SWFWMD,2005,,,
806,Lake Carroll (70th Street),Boca Ciega Bay,SWFWMD,2009,,,
807,Largo Stormwater Quality Retrofit - 101st Street,Boca Ciega Bay,SWFWMD,2005,,,
808,McKay Bay - Melbourne Pond SW,Hillsborough Bay,SWFWMD,2006,133.2,531,18025
809,Pond 56,Hillsborough Bay,SWFWMD,1998,,,
810,River Hills Drive Outfall No. 1,Hillsborough Bay,SWFWMD,2005,,,
811,River Hills Drive Outfall No.2,Hillsborough Bay,SWFWMD,2005,,,
812,South Glen Arven Outfalls SW retrofit,Hillsborough Bay,SWFWMD,2004,,,
814,Sumner Road,Hillsborough Bay,SWFWMD,2002,,,
815,Sunset Drive Outfall,Boca Ciega Bay,SWFWMD,2004,,,
819,Joe's Creek Greenway Park Stormwater Treat and Wetlands Restoration,Boca Ciega Bay,SWFWMD,2011,,,
826,South MacDill 48 Property Acquisition,Hillsborough Bay,City of Tampa,2002,,,
827,River Tower Park Site Acquisition,Hillsborough Bay,City of Tampa,2002,,,
828,Cypress Point Park Restoration,Hillsborough Bay,City of Tampa,2004,,,
829,Ballast Point Shoreline Restoration,Hillsborough Bay,City of Tampa,2004,,,
841,Margorie Park Marina Spill Prevention,Hillsborough Bay,City of Tampa,2005,,,
842,Mosaic Riverview Closed Stack Lined Surge Ponds,Hillsborough Bay,Mosaic,2004,,3400,
843,Mosaic Riverview -  Modifications to Outfall Automation and Monitoring,Hillsborough Bay,Mosaic,2003,,20,0
844,Mosaic Riverview -  Enhanced Housekeeping and Street Sweeping,Hillsborough Bay,Mosaic,2004,,40,0
845,Mosaic Riverview -  Improved drainage in Phosphoric Acid Production Areas,Hillsborough Bay,Mosaic,2005,,20,0
847,Mosaic Mulberry -  Transfer of Mulberry Phosphates process water,Hillsborough Bay,Mosaic,2005,,,0
848,Bartow Phosphate Complex -  Enhanced Process Water Evaporation -  Nutrient Load Prevention Project-2001,Hillsborough Bay,Mosaic,2001,,12280,0
849,Bartow Phosphate Complex -  Enhanced Process Water Evaporation -  Nutrient Load Prevention Project,Hillsborough Bay,Mosaic,2006,,16600,0
850,New Stormwater Retrofit 2004,Hillsborough Bay,Kinder-Morgan/Pakhoed Dry Bulk Terminals,2005,,2720,
851,Plant City Phosphate Complex -  Process Water Balance Improvements -  Prevention Project 1,Hillsborough Bay,Mosaic,1999,,6000,0
852,Plant City Phosphate Complex -  Process Water Balance Improvements -  Prevention Project 2,Hillsborough Bay,Mosaic,2004,,6000,0
855,Mulberry RO Process Water Treatment -  Prevention Project,Hillsborough Bay,Mosaic,2006,,,0
856,Mulberry/Bartow Regional Process Water Storage Pond and R/O Treatment,Hillsborough Bay,Mosaic,2010,,,
870,Hillsborough County Citrus,Middle Tampa Bay,Hillsborough County,1995,,295.1,
871,Citrus Conversion to Micro-Irrigation,Hillsborough Bay,Hillsborough County,1995,,87.5,
872,Citrus Conversion to Micro-Irrigation,Hillsborough Bay,Hillsborough County,1995,,14,
873,Citrus Conversion to Micro-Irrigation,Middle Tampa Bay,Hillsborough County,1995,,6.3,
874,Citrus Conversion to Micro-Irrigation,Old Tampa Bay,Hillsborough County,1995,,15.9,
875,Citrus Conversion to Micro-Irrigation,Hillsborough Bay,Hillsborough County,1995,,109.7,
876,Citrus Conversion to Micro-Irrigation,Middle Tampa Bay,Hillsborough County,1995,,61.7,
877,Field and Row Crop Conversion to Micro-Irrigation,Hillsborough Bay,Hillsborough County,1995,,307.4,
878,Field and Row Crop Conversion to Micro-Irrigation,Hillsborough Bay,Hillsborough County,2000,,139.2,
879,Field and Row Crop Conversion to Micro-Irrigation,Hillsborough Bay,Hillsborough County,1995,,106.2,
880,Field and Row Crop Conversion to Micro-Irrigation,Hillsborough Bay,Hillsborough County,2000,,48.2,
881,Field and Row Crop Conversion to Micro-Irrigation,Middle Tampa Bay,Hillsborough County,1995,,45.9,
882,Field and Row Crop Conversion to Micro-irrigation,Middle Tampa Bay,Hillsborough County,2000,,20.7,
883,Field and Row Crop Conversion to Micro-Irrigation,Old Tampa Bay,Hillsborough County,1995,,45.6,
884,Field and Row Crop Conversion to Micro-Irrigation,Old Tampa Bay,Hillsborough County,2004,,20.7,
885,Field and Row Crop Conversionn to Micro-Irrigation,Hillsborough Bay,Hillsborough County,1995,,697.7,
886,Field and Row Crop Conversion to Micro-Irrigation,Hillsborough Bay,Hillsborough County,2000,,316.1,
887,Field and Row Crop Conversion to Micro-Irrigation,Middle Tampa Bay,Hillsborough County,1995,,229.7,
888,Field and Row Crop Conversion to Micro-Irrigation,Middle Tampa Bay,Hillsborough County,2000,,104,
889,Strawberry Conversion to Micro-Irrigation,Hillsborough Bay,Hillsborough County,1995,,612.9,
890,Strawberry Conversion to Micro-Irrigation,Hillsborough Bay,Hillsborough County,1995,,212,
891,Strawberry Conversion to Micro-Irrigation,Middle Tampa Bay,Hillsborough County,1995,,91.4,
892,Strawberry Conversion to Micro-Irrigation,Old Tampa Bay,Hillsborough County,1995,,90.8,
893,Strawberry Conversion to Micro-Irrigation,Hillsborough Bay,Hillsborough County,1995,,1391.1,
894,Strawberry Conversion to Micro-Irrigation,Middle Tampa Bay,Hillsborough County,1995,,457.8,
895,Citrus Conversion to Micro-Irrigation,Lower Tampa Bay,Manatee County CES,1995,,197.4,
896,Citrus Conversion to Micro-Irrigation,Lower Tampa Bay,Manatee County CES,2000,,26.1,
897,Citrus Conversion to Micro-Irrigation,Middle Tampa Bay,Manatee County CES,1995,,6.5,
898,Citrus Conversion to Micro-Irrigation,Middle Tampa Bay,Manatee County CES,2000,,0.9,
899,Citrus Conversion to Micro-Irrigation,Middle Tampa Bay,Manatee County CES,1995,,285.8,
900,Citrus Conversion to Micro-Irrigation,Middle Tampa Bay,Manatee County CES,2000,,37.8,
901,Citrus Conversion to Micro-Irrigation,Manatee River,Manatee County CES,1995,,777.8,
902,Citrus Conversion to Micro-Irrigation,Manatee River,Manatee County CES,2000,,102.8,
903,Citrus Conversion to Micro-Irrigation,Terra Ceia Bay,Manatee County CES,1995,,23,
904,Citrus Conversion to Micro-Irrigation,Terra Ceia Bay,Manatee County CES,2000,,3,
905,Field and Row Crop Conversion to Micro-Irrigation,Lower Tampa Bay,Manatee County CES,1995,,219.8,
906,Field and Row Conversion to Micro-Irrigation,Lower Tampa Bay,Manatee County CES,2000,,55.2,
907,Field and Row Crops to Micro-Irrigation,Middle Tampa Bay,Manatee County CES,1995,,52.2,
908,Field and Row Crop Conversion to Micro-Irrigation,Middle Tampa Bay,Manatee County CES,2000,,13.1,
909,Field and Row Crop Conversion to Micro-Irrigation – Manatee County,Middle Tampa Bay,Manatee County CES,1995,,1272.3,0
910,Field and Row Crop Converson to Micro-Irrigation – Manatee County,Middle Tampa Bay,Manatee County CES,2000,,319.5,0
911,Field and Row Crop Conversion to Micro-Irrigation,Manatee River,Manatee County CES,1995,,4899.8,
912,Field and Row Crop Conversion to Micro-Irrigation,Manatee River,Manatee County CES,2000,,1230.3,
913,Field and Row Crop Conversion to Micro-Irrigation,Terra Ceia Bay,Manatee County CES,1995,,77,
914,Field and Row Crop Conversion to Micro-Irrigation,Terra Ceia Bay,Manatee County CES,2000,,19.4,
915,Strawberry Crop to Micro-Irrigation,Lower Tampa Bay,Manatee County CES,1995,,0.6,
916,Strawberry Crop Conversion to Micro-Irrigation,Middle Tampa Bay,Manatee County CES,1995,,0.2,
917,Strawberry Crop Conversion to Micro-Irrigation – Manatee County,Middle Tampa Bay,Manatee County CES,1995,,3.8,0
918,Strawberry Crop Conversion to Micro-Irrigation,Manatee River,Manatee County CES,1995,,14.7,
919,Strawberry Crop Conversion to Micro-Irrigation,Terra Ceia Bay,Manatee County CES,1995,,0.3,
920,Onsite Stormwater Management System,Hillsborough Bay,Kinder-Morgan/Pakhoed Dry Bulk Terminals,1998,,13882,
921,Kinder-Morgan Tampaplex Terminal (formerly  IMC Port Sutton) Elimination of Heating Water Discharge,Hillsborough Bay,Kinder-Morgan/Pakhoed Dry Bulk Terminals,2005,,18200,0
922,Stormwater Connection to Hookers Point Wastewater Treatment Plant,Hillsborough Bay,CSX Transportation,2005,,3200,
