HeaderID,Project_Name,Bay_Segment,Lead_Entity,Completion_Date,TP_Reduction_lbs_yr,TN_Reduction_lbs_yr,TSS_Reduction_lbs_yr,ProjectName,OngoingInitiation,DiscontinuedDate,CompletionDate,ActualProjectCost,FundingSource,ProjectDescriptionText,NonPointProject,PointProject,ProjectLatitude,ProjectLongitude
30,Cargill Fertilizer Stormwater Ponds,Hillsborough Bay,Mosaic,1998,3.1,9.6,1106,Cargill Fertilizer Stormwater Ponds,1991,0,1998,NA,"Cargill Fertilizer, Inc.",Construct and upgrade stormwater ponds feeding NPDES outfalls 021 and 022 to improve recirculation and nutrient uptake by appropriate species.  Reduction is from onsite stormwater runoff prior to discharge. Area treated=5.5 acres; treatment area=needed.,1,1,27.863575,-82.385047
31,Cargill Fertilizer Dedicated Sump By Production Lab,Hillsborough Bay,Mosaic,1996,NA,59.4,NA,Cargill Fertilizer Dedicated Sump By Production Lab,1996,0,1996,NA,Cargill Fertilizer,Laboratory sump to return rinsate to the process. Partnership for Progress Page - HB14. Area treated=needed; reduction efficiency supplied by Cargill.,1,1,27.863575,-82.385047
32,Cargill Fertilizer Dedicated Sump At Product Loading Dock,Hillsborough Bay,Mosaic,1996,NA,1584,NA,Cargill Fertilizer Dedicated Sump At Product Loading Dock,1996,0,1996,"$10,000.00","Cargill Fertilizer, Inc., Total Project Cost $10,000",Dock sump to return dock area (approx. 2 acres) runoff to the production process to recover nutrient (approx. 80 mg/l total N). Partnership for Progress Page-HB14. Area treated=2 acres; reduction efficiency supplied by Cargill.,1,1,27.863575,-82.385047
33,Cargill Fertilizer Outfall Structural And Procedural Improvements,Hillsborough Bay,Mosaic,1997,NA,1962,NA,Cargill Fertilizer Outfall Structural And Procedural Improvements,1996,0,1997,NA,"Cargill Fertilizer, Inc.","Page HB14. Structural improvements to ditch, increased water reuse, flow reduction, training provided to employees regarding our NPDES permit, Best Management Practices. Area treated=needed; reduction efficiency supplied by Cargill",1,1,27.863575,-82.385047
34,IMC-Agrico Company Termination Of Ammonia In Flot Plants-Alafia River,Middle Tampa Bay,Mosaic,1995,NA,21e3,NA,IMC-Agrico Company Termination Of Ammonia In Flot Plants-Alafia River,0,0,1995,NA,"IMC-Agrico, Inc.",Area treated=needed. Reduction supplied by IMC.,1,1,27.662673,-82.215645
35,IMC-Agrico Company Shiploading Terminals Stormwater And Spillage,Hillsborough Bay,Mosaic,1994,NA,25755,NA,IMC-Agrico  Company Shiploading Terminals Stormwater And Spillage,0,0,1994,NA,"IMC-Agrico, Inc.",Reductions were primarily accomplished through stormwater collection and treatment and also through spillage control. Area treated=22 acres; reduction efficiency supplied by IMC.,1,1,28.019236,-82.21548
36,CF Industries Product Conveyor System Upgrade,Hillsborough Bay,Mosaic,1993,NA,19600,NA,CF Industries Product Conveyor System Upgrade,1990,0,1993,NA,CF Industries,"Product Conveyor System Upgrade Project - Phase 1:  Installation of belt scrapers, product containment hoppers, and paving beneath conveyors; and implementation of administative controls (BMPs). Area treated=needed; reduction efficiency supplied by CF.",1,1,27.927192,-82.435207
37,CF Industries Improved Dust Suppressant Application On Fertilizer Products,Hillsborough Bay,Mosaic,1994,NA,108,NA,CF Industries Improved Dust Suppressant Application On Fertilizer Products,1994,0,1994,NA,"CF Industries, Inc.",Partnership for Progress Page HB18. Area treated=needed; reduction efficiency supplied by CF.,1,1,27.927192,-82.435207
38,CF Industries Product Conveyor System Enhancement - Phase 2,Hillsborough Bay,Mosaic,1997,NA,41.4,NA,CF Industries Product Conveyor System Enhancement - Phase 2,1997,0,1997,NA,"CF Industries, Inc.",Product Conveyor System Enhancements - Phase 2: Includes installation of conveyor enclosure system between warehouse and gantry. Partnership for Progress Page HB18. Area treated=needed; reduction efficiency supplied by CF.,1,1,27.927192,-82.435207
39,CF Industries Stormwater Management System Project,Hillsborough Bay,Mosaic,1997,NA,NA,NA,CF Industries Stormwater Management System Project,1996,0,1997,NA,"CF Industries, Inc.","Consists of collection and routing of all site stormwater runoff and construction of a lift station, pumping systems, and hyacinth treatment pond to manage up to a 25-year, 24-hour storm event. Area treated=12 acres; treatment area=needed.",1,1,27.927192,-82.435207
40,CSX Transportation Rockport Terminal Stormwater Management Improvements,Hillsborough Bay,CSX Transportation,1997,NA,74e3,NA,CSX Transportation Rockport Terminal Stormwater Management Improvements,0,0,1997,NA,Company Funds,"Efficiency citation: Partnership for Progress, Page HB.19.  Several BMPs implemented to reduce contact with product. Area treated=needed; reduction efficiency supplied by CSX.",1,1,27.916449,-82.417664
48,Del Oro Phase 1,Old Tampa Bay,City of Clearwater,1996,17.8,58.5,1905,Del Oro Phase 1,1995,0,1996,"$328,386.00","Florida Department of Community Affairs-$50,000",Stormwater retrofit. Year 2000 Update: project complete.,1,0,28.012172,-82.609611
49,Cooper's Point Restoration,Old Tampa Bay,City of Clearwater,2001,NA,NA,NA,Cooper's Point Restoration,1996,0,2001,"$315,221.00",NA,Habitat restoration on the shore of Old Tampa Bay.  Removal of exotic vegetation in an area scheduled for development as a passive park.,1,0,27.95993401,-82.71747599
50,Allen's Creek Rehabilitation At Lake View And Hercules (Red Maple Swamp),Old Tampa Bay,Pinellas County,1998,NA,1466.8,NA,Allen's Creek Rehabilitation At Lake View And Hercules (Red Maple Swamp),1997,0,1998,NA,"City of Largo, Pinellas County, SWFWMD","Habitat floodplain restoration and stormwater treatment.
Year 2000 Update: This is not actually a new project. It was contained in the Pinellas County Action Plan, but omitted from this update. It was completed as planned in 1997/98. Treat.area=needed",1,0,28.012172,-82.609611
53,Improve Business And Homeowner Opportunities For Hazardous Waste Disposal,Old Tampa Bay,City of Clearwater,1999,NA,NA,NA,Improve Business And Homeowner Opportunities For Hazardous Waste Disposal,1998,0,1999,NA,City of Clearwater,Clearwater is coordinating with Pinellas County in conducting Amnesty Days. 2003 update -no changes,0,0,28.012172,-82.609611
55,Lower Sweetwater Creek Stormwater Retrofits,Old Tampa Bay,Hillsborough County,2012,4.2,17.3,NA,Lower Sweetwater Creek Stormwater Retrofits,2005,0,2012,NA,NULL,"vegetation enhancement in ditch and CDS unit 
at Bray Rd.",1,1,28.012172,-82.609611
56,Brushy Creek Wetland Enhancement Project,Old Tampa Bay,Hillsborough County,1993,0.5,2.4,67,Brushy Creek Wetland Enhancement Project,1992,0,1993,"$638,494.00",NULL,"Enhanced wetland system adjacent and parallel to Brushy Creek to provide improved water quality and wildlife habitat.  The project, consisting of two constructed wetlands, is located north and south of Ehrlich Road.",1,1,28.012172,-82.609611
57,"Alligator Creek Channel ""H"" Stormwater Treatment Pond",Old Tampa Bay,Pinellas County,1995,NA,798.9,NA,"Alligator Creek Channel ""H"" Stormwater Treatment Pond",1994,0,1995,NA,SWFWMD and Pinellas County,"Stormwater runoff diverted from Channel ""H"" through a wet detention pond for treatment. Project included extensive wetland plantings to provide improved treatment via biological uptake. Year 2000 Update: Completed as indicated.",1,0,28.012172,-82.609611
58,Al Lopez Park Pond Enhancement,Old Tampa Bay,City of Tampa,1994,NA,43.9,NA,Al Lopez Park Pond Enhancement,1993,0,1994,"$375,000.00","SWFWMD and City of Tampa, Total Project Cost $375,000 Inspection & Mgt.",Enhanced existing southern pond of the two pond system at Horizon Park to provide improved water quality performance and wetland habitat. Demonstration project.  Year 2000 Update; Ongoing maintenance of the pond by parks dept. Treatment area=needed,1,0,28.012172,-82.609611
59,Lois And Henry Avenues Retention Pond (Drew Park Drainage And Improvements  Phase 1),Old Tampa Bay,City of Tampa,1997,14,49.2,3344,"Lois And Henry Avenues Retention Pond (Drew Park Drainage And Improvements, Phase 1)",1996,0,1997,"$350,000.00","City Of Tampa, Total Project Cost $350,000 est.",Constructed stormwater drainage.  Year 2000 Update: Project completed. Treatment area=needed,1,0,28.012172,-82.609611
61,Safety Harbor Stormwater Retrofit Project,Old Tampa Bay,City of Safety Harbor,1995,NA,1079.4,NA,Safety Harbor Stormwater Retrofit Project,1994,0,1995,NA,"SWFWMD, City of Safety Harbor","Reconstruction of on-line borrow pit in Mullet Creek. Year 2000 Update: Delete this from Pinellas County's projects, it belongs to the City of Safety Harbor. Treatment area=needed.",1,1,28.012172,-82.609611
62,Roosevelt Creek Stormwater - Phase I,Old Tampa Bay,Pinellas County,2002,35.4,109.1,1652,Roosevelt Creek Stormwater - Phase I,2001,0,2002,"$1,300,000.00","County ad valorum, Pinellas County sales tax",Stormwater pond creation; pond 26 acres. Year 2000 Update: Partially completed. Estimate final completion by 2002. Area treated=147 acres; treatment area=26 acres.,1,0,28.012172,-82.609611
64,Septic To Sewer Conversions In Largo,Old Tampa Bay,City of Largo,1997,NA,3e3,NA,Septic To Sewer Conversions In Largo,0,0,1997,"$1,900,000.00",City of Largo user fees.,The City of Largo brought on line 120 properties to their sanitary sewer service that were previously on septic tank systems. Reduction efficiency supplied by Pin. Cty.    NOT PINELLAS COUNTY,1,0,28.012172,-82.609611
65,Alligator Creek Pond at Logan Street,Old Tampa Bay,Pinellas County,2002,131.1,431.8,14056,Alligator Creek Pond at Logan Street,1998,0,2002,"$1,400,000.00","Pinellas County sales tax, SWFWMD",Pond creation; pond area 8 acres. Year 2000 Updates:  Change title to indicate that it is Alligator Creek Pond at Logan Street. Pond had to be redesigned after completion of Alligator Creek Watershed Plan. Anticipated completion date is 2002.,1,0,28.012172,-82.609611
67,Bayside Bridge Pond Rehabilitation,Old Tampa Bay,Pinellas County,2004,2.9,11.4,310,Bayside Bridge Pond Rehabilitation,1999,0,2004,"$200,000.00",Pinellas County sales tax.,Redesign and rehabilitation of the 1.9 acre treatment pond at the north end of the Bayside Bridge to provide treatment. Year 2000 Update: Change anticipated completion date to 2001.,1,0,28.012172,-82.609611
77,Lake Maggiore Alum Injection,Middle Tampa Bay,City of St. Petersburg,1998,NA,6212,NA,Lake Maggiore Alum Injection,1995,0,1998,"$4,000,000.00","Penny for Pinellas, SWFWMD",Residential stormwater runoff from 1449 acres will be treated using alum injection in golf course lakes prior to discharge to Lake Maggiore.   Treatment Efficiency citation: (ERD Report),1,1,27.662673,-82.215645
80,Mirror Lake Stormwater Retrofit,Middle Tampa Bay,City of St. Petersburg,2000,NA,1553,NA,Mirror Lake Stormwater Retrofit,1998,0,2000,"$529,000.00",St. Petersburg stormwater utility,The City has completed the installation and placed into operation a stormwater pretreatment system for runoff entering Mirror Lake that discharges into Tampa Bay. (ERD Report),1,1,27.662673,-82.215645
81,Pinellas Park Channel 2 Alum Stormwater Retrofit Project,Middle Tampa Bay,City of Pinellas Park,1998,NA,272,NA,Pinellas Park Channel 2 Alum Stormwater Retrofit Project,0,0,1998,NA,"SWFWMD, Pinellas Park Mnagement District",Wet detention with filtration and alum.,1,1,27.662673,-82.215645
82,Haynsworth Tract Regional Stormwater Treatment Facility,Middle Tampa Bay,SWFWMD,1998,NA,NA,NA,Haynsworth Tract Regional Stormwater Treatment Facility,1997,0,1998,"$1,201,188.00",Pinellas County,"Regional stormwater treatment facility providing treatment based on current regulatory design criteria for 424 acres of pre-1982 development. Year 2000 Update: Earthwork and planting complete in 1999, monitoring ongoing. Treatment area=needed.",1,0,27.662673,-82.215645
84,Cockroach Bay Regional Stormwater Treatment Facility,Middle Tampa Bay,SWFWMD,1997,0.6,NA,60,Cockroach Bay Regional Stormwater Treatment Facility,0,0,1997,"$780,000.00",NA,Construct regional stormwater pond receiving runoff from 251 acre agricultural drainage area. Treatment area=needed.,1,0,27.662673,-82.215645
85,Little Manatee River Land Acquisition Project,Middle Tampa Bay,SWFWMD,1995,NA,NA,NA,Little Manatee River Land Acquisition Project,0,0,1995,NA,SWFWMD,Year 2000 Update: None.  Complete since 1995.,0,0,27.662673,-82.215645
86,Sawgrass Lake Pond (Haynesworth Tract),Middle Tampa Bay,Pinellas County,1999,145.8,480.3,15636,Sawgrass Lake Pond (Haynesworth Tract),1998,0,1999,"$1,500,000.00","Pinellas County sales tax, SWFWMD",Pond creation; pond size = 22 acres. Year 2000 Update: Project complete.,1,0,27.662673,-82.215645
87,Overlay District Projects - Development,Lower Tampa Bay,Manatee County,2000,NA,2057.1,NA,Overlay District Projects - Development,0,0,2000,NA,Developer,Reduction efficiency supplied by Man. Cty.,1,0,27.59344,-82.675961
88,Overlay District Projects - Agriculture,Lower Tampa Bay,Manatee County,2000,NA,17154.5,NA,Overlay District Projects - Agriculture,0,0,2000,NA,"Property owner, Grants",Reduction efficiency supplied by Man. Cty.,1,0,27.59344,-82.675961
89,Land Acquisition/Management Project,Lower Tampa Bay,Manatee County,2000,NA,NA,NA,Land Acquisition/Management Project,0,0,2000,NA,"County ad valorum, Grants",Need current and future zoned uses and subbasins.,1,0,27.59344,-82.675961
115,Allens Creek Rehabilitation at Lake View and Hercules (Red Maple Swamp),Old Tampa Bay,City of Clearwater,1999,425.6,1401.9,45637,Allens Creek Rehabilitation at Lake View and Hercules (Red Maple Swamp),1998,0,1999,"$1,803,310.00",Joint City/County/SWFWMD,Habitat floodplain restoration and stormwater treatment.  Year 2000 Update: Project construction completed in July of 1999. Maintenance and monitoring of wetland plantings to continue through 2002. Treatment area=needed.,1,0,27.95993401,-82.71747599
122,Lowry Park Zoo Stormwater Rehabilitation,Hillsborough Bay,SWFWMD,2002,NA,205.2,NA,Lowry Park Zoo Stormwater Rehabilitation,1997,0,2002,"$344,894.00","Hills. River Basin Board, State SWIM, City of Tampa",Construction of a 2 acre wet detention system to provide limited treatment of runoff from a 100 acre basin. Project provides educational opportunities through the integration with 300 exhibits.,1,1,28.013639,-82.467792
123,McKay Bay (Eastshore Commerce Park) (Melbourne Pond) Drainage Basin Rehabilitation,Hillsborough Bay,Tampa Bay Water/SWFWMD,2006,NA,880,NA,McKay Bay (Eastshore Commerce Park) (Melbourne Pond) Drainage Basin Rehabilitation,0,0,2006,"$1,010,000.00","Tampa Bay Water provided property; Uniform Water Rate,  SWFWMD Gov Board Coop Funding",The project treats stormwater from approximately 1000 acres of the watershed that discharges into McKay Bay and ultimately Tampa Bay.,1,1,27.962889,-82.347508
125,Cockroach Bay Restoration Project,Middle Tampa Bay,SWFWMD,1996,211.2,570.9,3140,Cockroach Bay Restoration Project,0,0,1996,"$6,300,000.00","SWFWMD, Hills. County, various grants","This project involves many aspects of restoration including stormwater treatment, exotic plant control, reclaiming 80 acres of shell pits into jurisdictional wetlands, and restoring natural upland habitats. Treatment area=needed.",1,0,27.662673,-82.215645
126,Lake Maggiore Dredging Project,Middle Tampa Bay,City of St. Petersburg,2006,NA,3425.7,NA,Lake Maggiore Dredging Project,2000,0,2006,"$13,000,000.00",Penny for Pinellas - Stormwater Utility,"Dredge, dewater and dispose of approximately 1.53 million cubic yards of nutrient rich lake bottom sediments.  Year 2000 Update; Commence with dredging in Jan. 2001 and complete 3 years thereafter.",1,1,27.662673,-82.215645
135,Lake Tarpon Stormwater Treatment (Areas 44/47),Old Tampa Bay,Pinellas County,2012,202.7,559.2,26676,Lake Tarpon Stormwater Treatment (Areas 44/47),2011,0,2012,"$460,000.00","Penny for Pinellas, grants",Pinellas County is currently investigating options for treating stormwater from two of the highest-loading subbasins in the Lake Tarpon watershed.,1,1,28.012172,-82.609611
137,Assist businesses in implementing site management practices to reduce stormwater runoff,All Segments,EPCHC,2000,NA,NA,NA,Assist businesses in implementing site management practices to reduce stormwater runoff,0,0,2000,"$400,000.00","Total Project Cost - $400,000/yr.","Text only.Through the SQG program, EPCHC plans to continue working closely with the Hills Co Public Works Dept Stormwater Mgmt Section to help reduce or eliminate pollutants from entering the environment through stormwater runoff.",0,0,27.86714745,-82.35780285
142,Brooker / Anclote Corridor Land Acquisition -1,Old Tampa Bay,Pinellas County,2001,NA,NA,NA,Brooker / Anclote Corridor Land Acquisition -1,0,0,2001,"$411,500.00",NA,NA,0,0,28.012172,-82.609611
143,Brooker Creek Land Acquisition -1,Old Tampa Bay,Pinellas County,2001,NA,NA,NA,Brooker Creek Land Acquisition -1,0,0,2001,"$5,382,000.00",NA,NA,0,0,28.012172,-82.609611
144,Brooker / Anclote Corridor Land Acquisition -2,Old Tampa Bay,Pinellas County,2001,NA,NA,NA,Brooker / Anclote Corridor Land Acquisition -2,0,0,2001,"$105,000.00",NA,NA,0,0,28.012172,-82.609611
145,Brooker / Anclote Corridor Land Acquisition -3,Old Tampa Bay,Pinellas County,2001,NA,NA,NA,Brooker / Anclote Corridor Land Acquisition -3,0,0,2001,"$450,000.00",NA,NA,0,0,28.012172,-82.609611
146,Brooker Creek Land Acquisition -2,Old Tampa Bay,Pinellas County,2001,NA,NA,NA,Brooker Creek Land Acquisition -2,0,0,2001,"$46,800.00",NA,NA,0,0,28.012172,-82.609611
147,Wall Springs Land Acquisition -2,Old Tampa Bay,Pinellas County,2001,NA,NA,NA,Wall Springs Land Acquisition -2,0,0,2001,"$21,450,000.00",NA,NA,0,0,28.012172,-82.609611
186,Restore America's Estuaries project assistance,All Segments,TBRPC,2005,NA,NA,NA,Restore America's Estuaries project assistance,0,0,2005,NA,NA,"Accumulated information was provided to the Florida Marine Research Institute, which was working with Tampa BayWatch to compile information for the Restore AmericaÃ¢â‚¬â„¢s Estuaries project.",0,0,27.86714745,-82.35780285
187,Mitigation Recommendations,All Segments,TBRPC,2005,NA,NA,NA,Mitigation Recommendations,0,0,2005,NA,NA,Action completed.  Follow-up could include reporting by TBEP partners on how the recommendations have been implemented.,0,0,27.86714745,-82.35780285
189,Recommendation of no-vehicle access areas,All Segments,TBRPC,2005,NA,NA,NA,Recommendation of no-vehicle access areas,0,0,2005,NA,NA,"Recommendations of four sites for restricted or no vehicle access has been proposed by a task force and in 1997 the recommendations were adopted by the TBRPC and Pinellas County, and forwarded to FDOT.",0,0,27.86714745,-82.35780285
191,Manatee Protection Zones,All Segments,TBRPC,2005,NA,NA,NA,Manatee Protection Zones,0,0,2005,NA,NA,Year 2000 Update/revisions: Action completed.,0,0,27.86714745,-82.35780285
193,Beneficial uses for spoil material,All Segments,ACOE,2000,NA,NA,NA,Beneficial uses for spoil material,0,0,2000,NA,NA,2003 update: Will use committee meetings to update DMMP.,0,0,27.86714745,-82.35780285
220,Apollo Beach Cargill Park - Land Acquisition,Hillsborough Bay,Hillsborough County,1996,NA,NA,NA,Apollo Beach Cargill Park - Land Acquisition,0,0,1996,"$2,066,258.00",NULL,NULL,1,1,28.019236,-82.21548
233,Agreement with TBRPC,All Segments,EPCHC,1998,NA,NA,NA,Agreement with TBRPC,0,0,1998,"$25,700.00","FDOT, Hills. Co.",2003 update: attached text file,0,0,27.86714745,-82.35780285
253,Balm Scrub - Land Acquisition,Hillsborough Bay,Hillsborough County,1997,NA,NA,NA,Balm Scrub - Land Acquisition,1999,0,1997,"$3,183,740.00",NULL,"current use - ag. Field and row; future - single 
family - no reduction - Misty",1,1,28.019236,-82.21548
254,Bell Creek Preserve - Land Acquisition,Hillsborough Bay,Hillsborough County,1997,NA,NA,NA,Bell Creek Preserve - Land Acquisition,1995,0,1997,"$2,788,117.00",Other Participant = FCT,future use - multifamily residential,1,1,27.860109,-82.279682
255,Blackwater Creek - Land Acquisition,Hillsborough Bay,Hillsborough County,1997,NA,NA,NA,Blackwater Creek - Land Acquisition,1997,0,1997,"$4,314,525.00",Other Participant = FCT,current use - ag. Pasture; future use - single family residential - Misty,1,1,28.12855,-82.154224
256,Boy Scout - Land Acquisition,Hillsborough Bay,Hillsborough County,1999,NA,NA,NA,Boy Scout - Land Acquisition,1995,0,1999,"$51,355.00",NULL,future use - medium density residential - Misty,1,1,27.880411,-82.199707
267,Port Redwing - Land Acquisition,Hillsborough Bay,Hillsborough County,1995,NA,NA,NA,Port Redwing - Land Acquisition,1995,0,1995,"$750,000.00",NA,"current use-commercial, future use-commercial; no reduction - Misty",0,0,27.86714745,-82.35780285
291,Retrofit the County's Resource Recovery Facility,Hillsborough Bay,Hillsborough County,2000,NA,NA,NA,Retrofit the County's Resource Recovery Facility,0,0,2000,NA,NA,NA,0,0,27.86714745,-82.35780285
293,Hillsborough County Reclaimed Water Use System,Hillsborough Bay,Hillsborough County,2005,NA,NA,NA,Hillsborough County Reclaimed Water Use System,0,0,2005,NA,NA,2003 update in desc File,0,0,28.019236,-82.21548
296,Support standardized monitoring of wastewater discharges,Hillsborough Bay,Hillsborough County,2005,NA,NA,NA,Support standardized monitoring of wastewater discharges,0,0,2005,NA,NA,NA,0,0,28.019236,-82.21548
298,SCADA for monitoring pump station failure,Hillsborough Bay,Hillsborough County,2011,NA,NA,NA,SCADA for monitoring pump station failure,2006,0,2011,NA,NULL,2003 update in desc file,1,1,28.019236,-82.21548
299,Hillsborough County Watershed Management Plans,All Segments,Hillsborough County,2002,NA,NA,NA,Hillsborough County Watershed Management Plans,0,0,2002,NA,NULL,NULL,1,1,27.86714745,-82.35780285
338,Atmospheric deposition studies,All Segments,Pinellas County,2002,NA,NA,NA,Atmospheric deposition studies,0,0,2002,NA,NA,2003 update: project completed 2002,0,0,27.86714745,-82.35780285
350,development of standardized mitigation guidelines,All Segments,Pinellas County,2000,NA,NA,NA,development of standardized mitigation guidelines,0,0,2000,NA,NA,Pinellas County participated on the task force to develop new standardized mitigation guidelines.,0,0,27.86714745,-82.35780285
351,Seagrass scar reduction efforts,All Segments,Pinellas County,1997,NA,NA,NA,Seagrass scar reduction efforts,0,0,1997,"$74,000.00",NA,Pinellas County has completed 7 years of monitoring of success of our prop scar prevention program at Ft. DeSoto and Boca Ciega Bay.,0,0,27.86714745,-82.35780285
367,Urban retrofit projects,Middle Tampa Bay,City of St. Petersburg,2004,NA,118.8,NA,Urban retrofit projects,1998,0,2004,"$50,000.00","private section development $100,000/acre = $95,000/yr.","The Local Stormwater Ordinance has been amended to require redevelopments in excess of 3000 square feet to retrofit the site for stormwater treatment, for the respective portion on the site being developed.",1,1,27.79,-82.442
399,Multiple habitat restoration and protection projects,Hillsborough Bay,Tampa Port Authority,2004,NA,NA,NA,Multiple habitat restoration and protection projects,0,0,2004,"$400,000.00",NA,2003 update in attached file. 2005-2010 update included also.,0,0,28.019236,-82.21548
419,Support consent orders for clean up of fertilizer facilities,All Segments,FDEP,2000,NA,NA,NA,Support consent orders for clean up of fertilizer facilities,0,0,2000,NA,NA,"FDEP IW will submit annual status reports on CSXT, PDBT and EAT, and implementation of the Consent Orders is expected to be complete within 5 years. 2003 update:Verification of final completion of required actions will be provided.",0,0,27.79,-82.442
461,Tampa Bay Water Regional Surface Water Treatment Plant,Hillsborough Bay,Tampa Bay Water,2003,NA,72440,NA,Tampa Bay Water Regional Surface Water Treatment Plant,2000,0,2003,"$84,000,000.00",Tampa Bay Water,"Attached article from Florida Specifier from Nov. 
2002 describing the Plant.",1,1,28.019236,-82.21548
464,Kapok Restoration Project,Old Tampa Bay,City of Clearwater,2006,NA,644,NA,Kapok Restoration Project,0,0,2006,"$13,514,272.00","stormwater utility - 12,3000,000",An in-line system and difficult to determine pollutant load reduction.  Water quality testing upstream and downstream of project following construction to determine efficiency of system. Information will be provided at a later date.,1,0,28.012172,-82.609611
465,Cliff Stephens Park Stormwater Retrofitting,Old Tampa Bay,City of Clearwater,2002,NA,11600,NA,Cliff Stephens Park Stormwater Retrofitting,2001,0,2002,"$690,000.00",NULL,NULL,1,1,28.012172,-82.609611
466,Channel B Stabilization,Old Tampa Bay,City of Clearwater,2001,NA,NA,NA,Channel B Stabilization,0,0,2001,"$503,000.00",NA,NA,1,0,28.012172,-82.609611
